1.441418 2.031726 1.888750
2.638314 2.812174 2.714317
2.488116 2.566664 3.388212
2.603981 2.119269 2.300542
2.437089 2.651210 2.903388
3.532328 2.492897 3.460093
1.968468 1.399698 2.937536
1.980743 1.694682 2.256512
2.372633 2.427699 3.215230
1.684475 2.847390 2.866538
2.427766 2.670029 2.228123
2.925327 2.752540 2.311924
2.846746 2.324531 3.210833
2.647366 2.583809 3.322230
2.121480 2.773742 2.385270
2.920898 2.940790 3.814273
2.726372 2.850758 2.420329
2.492219 2.706624 2.856600
2.952845 3.204562 2.331347
3.034505 3.261049 1.497051
2.397412 1.937474 2.817717
1.533817 3.067550 2.965473
3.000337 2.930424 2.083410
2.513310 2.353474 2.682161
2.711607 2.897895 3.400052
2.119457 2.510825 2.193550
2.898476 1.826436 2.859169
1.785727 2.367903 2.806039
2.411900 2.347553 2.593477
2.557188 2.837554 1.975150
2.053234 2.148178 3.081325
2.623700 3.136229 2.811288
2.083217 3.121968 3.006187
1.780737 1.920798 2.884850
2.084397 1.567403 1.818125
2.000270 2.537264 1.528365
2.297613 3.123044 3.174188
2.967460 2.272844 2.065547
1.661219 2.467955 2.358710
1.947786 2.483159 2.592350
2.608846 2.596930 2.959052
2.780228 2.687774 2.788355
2.564232 3.124439 2.661228
2.962126 2.542158 2.896367
3.283397 2.908667 3.078723
2.694364 1.646954 2.919779
2.968601 2.015467 2.712541
2.549876 2.650986 2.260919
2.648613 3.416899 1.712159
1.102892 2.436268 2.304004
2.919558 2.729032 2.256736
2.584833 2.709042 2.677793
2.124182 2.986657 3.368585
2.106771 2.811951 2.087517
1.808383 2.350256 2.728860
2.427564 2.109476 1.909700
2.425146 2.017424 3.075703
2.818336 2.700739 3.448283
2.808069 2.444516 2.014481
2.961465 2.423514 2.257641
1.973021 1.793198 2.395366
2.713382 1.559847 1.793803
2.510698 2.728110 2.134693
2.603754 1.572187 2.782584
2.980766 3.499258 1.702935
1.831792 2.139509 2.653850
2.209321 1.475341 2.237856
2.022629 2.274547 1.079627
2.515358 1.457553 1.063878
2.743622 2.240516 1.898030
2.288926 2.966639 3.130486
2.451152 2.487258 3.515301
2.640232 1.930572 2.848062
3.135749 2.329519 1.323136
2.604730 2.458047 2.356818
3.325901 1.926431 2.499060
1.751071 1.999687 2.649187
2.650542 1.873865 3.388241
3.257576 2.303321 2.673201
1.339955 2.255389 2.313624
1.884355 2.103206 2.857327
3.412698 2.763992 2.455711
1.517799 1.898292 3.066318
2.490767 2.586873 2.380784
1.589782 2.699227 3.068670
2.212357 2.111337 2.072306
2.636522 3.079852 2.028761
3.720169 2.429738 1.340862
2.917418 2.955044 2.392625
2.645528 2.605008 2.284251
2.770562 3.214089 1.963949
3.201053 3.782697 3.299833
2.910943 2.396080 2.535476
2.178877 1.949858 2.276379
1.864011 2.394513 2.351345
1.514143 2.907060 1.859535
2.723634 2.605523 3.890046
1.727286 2.226834 1.940312
2.458761 3.254128 3.023343
2.500036 3.126606 2.645899
1.543713 1.883786 2.444941
